name,price,emi,kilometer,fuel,transmission,link
2014 Mercedes Benz S Class,27.50 lakh,N/A,"54,082 km",Diesel,Auto,https://www.cars24.com/buy-used-mercedes-benz-s-class-2014-cars-new-delhi-10097463735/
2022 Maruti BREZZA,7.00 lakh,"EMI ₹12,357/m","70,182 km",Petrol,Manual,https://www.cars24.com/buy-used-maruti-brezza-2022-cars-faridabad-11090668730/
2015 Audi A6,9.90 lakh,N/A,"68,924 km",Diesel,Auto,https://www.cars24.com/buy-used-audi-a6-2015-cars-new-delhi-10050065786/
2016 Renault Kwid,1.52 lakh,"EMI ₹3,381/m","39,807 km",Petrol,Manual,https://www.cars24.com/buy-used-renault-kwid-2016-cars-gurgaon-10059163755/
2018 Jeep Compass,7.03 lakh,"EMI ₹12,410/m","55,105 km",Petrol,Auto,https://www.cars24.com/buy-used-jeep-compass-2018-cars-ghaziabad-10555267789/
2017 Jeep Compass,6.12 lakh,"EMI ₹11,965/m","73,632 km",Petrol,Auto,https://www.cars24.com/buy-used-jeep-compass-2017-cars-noida-10555160729/
2021 Maruti S Cross,5.68 lakh,"EMI ₹10,027/m","41,904 km",Petrol,Manual,https://www.cars24.com/buy-used-maruti-s-cross-2021-cars-noida-10011864702/
2017 Skoda Octavia,6.36 lakh,"EMI ₹12,434/m","47,284 km",Petrol,Auto,https://www.cars24.com/buy-used-skoda-octavia-2017-cars-new-delhi-10160760731/
2022 Honda Amaze,5.76 lakh,"EMI ₹10,168/m","21,278 km",Petrol,Manual,https://www.cars24.com/buy-used-honda-amaze-2022-cars-new-delhi-10096262728/
2019 KIA SELTOS,7.60 lakh,"EMI ₹13,416/m","99,072 km",Petrol,Auto,https://www.cars24.com/buy-used-kia-seltos-2019-cars-gurgaon-29674260784/
2024 Tata Harrier,14.85 lakh,"EMI ₹25,427/m","24,189 km",Diesel,Auto,https://www.cars24.com/buy-used-tata-harrier-2024-cars-noida-10512367724/
