name,price,emi,kilometer,fuel,transmission,link
2019 Renault Duster,6.95 lakh,"EMI ₹12,269/m","45,163 km",Diesel,Manual,https://www.cars24.com/buy-used-renault-duster-2019-cars-bangalore-10253766706/
2022 Tata ALTROZ,6.40 lakh,"EMI ₹11,298/m","63,714 km",Petrol,Manual,https://www.cars24.com/buy-used-tata-altroz-2022-cars-bangalore-10200866741/
2013 Maruti Swift,2.83 lakh,"EMI ₹25,144/m","1,33,984 km",Diesel,Manual,https://www.cars24.com/buy-used-maruti-swift-2013-cars-bangalore-10286865735/
2014 Maruti Ritz,3.26 lakh,"EMI ₹10,828/m","52,114 km",Petrol,Manual,https://www.cars24.com/buy-used-maruti-ritz-2014-cars-bangalore-10203069743/
2019 Honda Civic,10.08 lakh,"EMI ₹21,916/m","1,15,102 km",Petrol,Auto,https://www.cars24.com/buy-used-honda-civic-2019-cars-bangalore-10205266737/
2021 Renault Kwid,2.90 lakh,"EMI ₹5,119/m","30,112 km",Petrol,Auto,https://www.cars24.com/buy-used-renault-kwid-2021-cars-bangalore-11124162737/
2013 Maruti Alto K10,1.80 lakh,"EMI ₹8,473/m","70,742 km",Petrol,Manual,https://www.cars24.com/buy-used-maruti-alto-k10-2013-cars-bangalore-10288560737/
2017 Maruti Baleno,5.15 lakh,"EMI ₹11,456/m","35,424 km",Diesel,Manual,https://www.cars24.com/buy-used-maruti-baleno-2017-cars-bangalore-10232764758/
2020 Maruti Baleno,5.82 lakh,"EMI ₹10,265/m","36,927 km",Petrol,Auto,https://www.cars24.com/buy-used-maruti-baleno-2020-cars-bangalore-10278762754/
2021 Maruti S Cross,5.43 lakh,"EMI ₹12,079/m","1,06,825 km",Petrol,Manual,https://www.cars24.com/buy-used-maruti-s-cross-2021-cars-bangalore-10277563735/
2017 Datsun Redi Go,1.81 lakh,"EMI ₹3,539/m","43,414 km",Petrol,Manual,https://www.cars24.com/buy-used-datsun-redi-go-2017-cars-bangalore-10810363788/
2016 Maruti Wagon R 1.0,2.30 lakh,"EMI ₹5,116/m","1,09,236 km",Petrol,Auto,https://www.cars24.com/buy-used-maruti-wagon-r-1.0-2016-cars-bangalore-10251761795/
2017 Maruti Celerio,3.15 lakh,"EMI ₹6,158/m","66,826 km",Petrol,Manual,https://www.cars24.com/buy-used-maruti-celerio-2017-cars-bangalore-10211860704/
2017 Maruti Celerio,3.15 lakh,"EMI ₹6,158/m","46,606 km",Petrol,Manual,https://www.cars24.com/buy-used-maruti-celerio-2017-cars-bangalore-10257467740/
2013 Skoda Rapid,2.69 lakh,"EMI ₹12,686/m","83,993 km",Petrol,Auto,https://www.cars24.com/buy-used-skoda-rapid-2013-cars-bangalore-10288200789/
