name,price,emi,kilometer,fuel,transmission,link
2016 Hyundai Xcent,3.80 lakh,"EMI ₹8,453/m","31,826 km",Petrol,Auto,https://www.cars24.com/buy-used-hyundai-xcent-2016-cars-pune-10679066745/
2014 Hyundai Eon,1.47 lakh,"EMI ₹4,883/m","81,047 km",Petrol,Manual,https://www.cars24.com/buy-used-hyundai-eon-2014-cars-pune-10624700761/
2021 Nissan MAGNITE,5.20 lakh,"EMI ₹9,179/m","44,815 km",Petrol,Manual,https://www.cars24.com/buy-used-nissan-magnite-2021-cars-pune-10615169706/
2021 Maruti Swift,6.20 lakh,"EMI ₹10,945/m","55,586 km",CNG,Manual,https://www.cars24.com/buy-used-maruti-swift-2021-cars-pune-10643166723/
2019 Hyundai Grand i10,3.73 lakh,"EMI ₹7,294/m","68,723 km",CNG,Manual,https://www.cars24.com/buy-used-hyundai-grand-i10-2019-cars-pune-10653466710/
2021 Maruti New Wagon-R,4.00 lakh,"EMI ₹7,061/m","82,582 km",CNG,Manual,https://www.cars24.com/buy-used-maruti-new-wagon-r-2021-cars-pune-10656060736/
2019 Audi Q8,74.00 lakh,"EMI ₹126,706/m","19,992 km",Petrol,Auto,https://www.cars24.com/buy-used-audi-q8-2019-cars-pune-10667904735/
2018 Maruti Wagon R 1.0,2.79 lakh,"EMI ₹6,206/m","96,300 km",CNG,Manual,https://www.cars24.com/buy-used-maruti-wagon-r-1.0-2018-cars-pune-10601868737/
2016 Volkswagen Jetta,4.33 lakh,"EMI ₹9,632/m","1,20,909 km",Petrol,Manual,https://www.cars24.com/buy-used-volkswagen-jetta-2016-cars-pune-10617261750/
2021 Hyundai Verna,8.23 lakh,"EMI ₹14,092/m","33,524 km",Petrol,Manual,https://www.cars24.com/buy-used-hyundai-verna-2021-cars-pune-10627963753/
2019 Ford Ecosport,4.86 lakh,"EMI ₹8,579/m","38,098 km",Petrol,Manual,https://www.cars24.com/buy-used-ford-ecosport-2019-cars-pune-12329866774/
2022 Tata ALTROZ,5.75 lakh,"EMI ₹10,150/m","60,344 km",Diesel,Manual,https://www.cars24.com/buy-used-tata-altroz-2022-cars-pune-10656268710/
2023 Tata PUNCH,6.46 lakh,"EMI ₹11,398/m","50,057 km",CNG,Manual,https://www.cars24.com/buy-used-tata-punch-2023-cars-pune-10688964744/
2022 Tata ALTROZ,5.87 lakh,"EMI ₹10,362/m","60,339 km",Diesel,Manual,https://www.cars24.com/buy-used-tata-altroz-2022-cars-pune-10658068726/
2017 Maruti Ciaz,4.33 lakh,"EMI ₹9,632/m","1,11,198 km",Diesel,Manual,https://www.cars24.com/buy-used-maruti-ciaz-2017-cars-pune-10627861713/
2022 Honda City,9.00 lakh,"EMI ₹15,410/m","83,559 km",Petrol,Auto,https://www.cars24.com/buy-used-honda-city-2022-cars-pune-10664561743/
2021 Maruti Alto,2.57 lakh,"EMI ₹4,537/m","60,179 km",Petrol,Manual,https://www.cars24.com/buy-used-maruti-alto-2021-cars-pune-10679266739/
2019 Hyundai VENUE,5.48 lakh,"EMI ₹9,674/m","43,077 km",Petrol,Manual,https://www.cars24.com/buy-used-hyundai-venue-2019-cars-pune-10654366734/
2021 Tata TIGOR,3.88 lakh,"EMI ₹6,849/m","84,487 km",Petrol,Manual,https://www.cars24.com/buy-used-tata-tigor-2021-cars-pune-10677560788/
2019 Hyundai VENUE,7.56 lakh,"EMI ₹13,354/m","53,723 km",Diesel,Manual,https://www.cars24.com/buy-used-hyundai-venue-2019-cars-pune-10667561740/
2019 Hyundai Elite i20,4.17 lakh,"EMI ₹7,361/m","61,502 km",Petrol,Manual,https://www.cars24.com/buy-used-hyundai-elite-i20-2019-cars-pune-10668165712/
2021 Volkswagen Polo,6.08 lakh,"EMI ₹10,733/m","32,487 km",Petrol,Auto,https://www.cars24.com/buy-used-volkswagen-polo-2021-cars-pune-10615965750/
2014 Volkswagen Polo,3.63 lakh,"EMI ₹12,057/m","99,975 km",Petrol,Auto,https://www.cars24.com/buy-used-volkswagen-polo-2014-cars-pune-10632160723/
2017 Hyundai Elite i20,3.80 lakh,"EMI ₹7,429/m","67,037 km",Petrol,Manual,https://www.cars24.com/buy-used-hyundai-elite-i20-2017-cars-pune-10677160730/
2018 Maruti Wagon R 1.0,3.07 lakh,"EMI ₹6,829/m","91,621 km",CNG,Manual,https://www.cars24.com/buy-used-maruti-wagon-r-1.0-2018-cars-pune-10681361735/
2014 Volkswagen Polo,2.82 lakh,"EMI ₹9,366/m","84,462 km",Petrol,Manual,https://www.cars24.com/buy-used-volkswagen-polo-2014-cars-pune-10690065787/
2016 Volkswagen Polo,3.25 lakh,"EMI ₹7,229/m","38,803 km",Petrol,Manual,https://www.cars24.com/buy-used-volkswagen-polo-2016-cars-pune-10615368707/
2019 Volkswagen Polo,3.25 lakh,"EMI ₹5,737/m","77,759 km",Petrol,Manual,https://www.cars24.com/buy-used-volkswagen-polo-2019-cars-pune-10605360711/
2019 Hyundai NEW SANTRO,2.88 lakh,"EMI ₹6,406/m","1,00,163 km",CNG,Manual,https://www.cars24.com/buy-used-hyundai-new-santro-2019-cars-pune-10690861777/
2017 Tata Tiago,2.88 lakh,"EMI ₹5,630/m","98,898 km",Petrol,Manual,https://www.cars24.com/buy-used-tata-tiago-2017-cars-pune-10639261740/
